Week,Department,Model,Weekly_Cost,Weekly_Tokens,Avg_Latency,Cache_Hit_Rate,Success_Rate,Dept_Total_Cost,Dept_Avg_Latency,Dept_Cache_Rate
2025-09-03,Customer_Support,Claude-3-Sonnet,1.5,187805,605.4,0.349,0.937,2.3,443.4,0.341
2025-09-17,Engineering,Llama-3-70B,0.07,66678,298.5,0.33,0.896,13.78,763.9,0.312
2025-07-30,Customer_Support,GPT-3.5-Turbo,0.65,324735,412.7,0.29,0.928,1.88,453.7,0.318
2025-10-22,Data_Science,Llama-3-70B,0.18,177687,301.1,0.345,0.89,12.3,931.4,0.352
2025-10-08,Finance,Gemini-Pro,1.14,56868,1128.7,0.406,0.952,7.04,1180.1,0.356
2025-12-17,Product,GPT-3.5-Turbo,0.22,108768,444,0.439,0.92,11.13,917,0.437
2025-10-08,Finance,Claude-3-Opus,2.02,80771,1240,0.31,0.967,7.04,1180.1,0.356
2025-09-10,Finance,GPT-4,3.11,103525,1293.7,0.382,0.971,5.16,1130.3,0.342
2025-01-01,Data_Science,Llama-3-70B,0.22,216569,333.8,0.155,0.887,12.9,946.8,0.139
2025-09-10,Legal,Claude-3-Opus,1.42,56916,1251.8,0.368,0.951,4.08,1248.3,0.356
2025-07-16,Engineering,Llama-3-70B,0.06,61386,256.7,0.265,0.888,12.76,785.2,0.269
2025-06-04,Sales,GPT-3.5-Turbo,0.28,137816,351.2,0.211,0.924,1.99,636.5,0.235
2025-05-14,Customer_Support,Claude-3-Sonnet,1.41,176062,548.7,0.272,0.94,2.15,422.5,0.232
2025-11-12,Data_Science,Claude-3-Opus,5,199902,1120,0.306,0.97,13.17,847.2,0.339
2025-05-07,Finance,Claude-3-Opus,1.55,62072,1206.1,0.269,0.959,5.45,1089.4,0.236
2025-01-08,Data_Science,Llama-3-70B,0.27,272835,327.9,0.185,0.9,17.14,968.4,0.162
2025-04-02,Product,GPT-3.5-Turbo,0.54,270605,420.6,0.177,0.922,31.12,840.9,0.184
2025-02-26,Sales,Gemini-Pro,1.13,56634,857.5,0.211,0.944,2.17,600.9,0.183
2025-01-22,Engineering,GPT-4,10.69,356255,1305.3,0.171,0.979,18.53,793.2,0.175
2025-05-14,Customer_Support,Llama-3-70B,0.06,62121,280.8,0.227,0.89,2.15,422.5,0.232
2025-10-29,Engineering,Claude-3-Opus,5.77,230922,1057.1,0.398,0.955,17.41,799.7,0.38
2025-05-14,Finance,Gemini-Pro,1.03,51587,991.3,0.284,0.943,7,1111.4,0.254
2025-08-13,Sales,Gemini-Pro,0.88,44182,1012.1,0.345,0.947,1.67,639.6,0.341
2025-06-18,Finance,GPT-4,3.2,106817,1090.7,0.213,0.975,5.51,997,0.25
2025-10-22,Sales,GPT-3.5-Turbo,0.18,91896,438,0.363,0.916,1.39,719.3,0.32
2025-07-23,Product,GPT-4,7.74,257944,1310.7,0.312,0.965,12.35,952.3,0.297
2025-07-30,Legal,Claude-3-Opus,1.62,64828,1114.5,0.255,0.969,4.5,1096.7,0.29
2025-04-02,Sales,Claude-3-Sonnet,0.62,77585,651.4,0.222,0.943,2.06,650.3,0.203
2025-01-01,Data_Science,GPT-4,8.13,270943,1254.9,0.128,0.967,12.9,946.8,0.139
2025-01-15,Sales,Gemini-Pro,1.02,50998,905.4,0.143,0.944,1.9,621.8,0.147
2025-09-24,Marketing,Claude-3-Sonnet,0.72,90048,570.5,0.301,0.945,3.14,780,0.344
2025-07-30,Data_Science,Claude-3-Opus,5.82,232623,1008.3,0.297,0.958,14.98,835.9,0.322
2025-09-10,Marketing,Claude-3-Sonnet,0.95,118346,673.6,0.344,0.948,3.71,790.2,0.343
2025-04-09,Customer_Support,Claude-3-Sonnet,1.74,217871,553.4,0.244,0.946,2.62,420,0.198
2025-10-08,Sales,Gemini-Pro,0.76,38180,1143,0.295,0.954,1.34,680.5,0.313
2025-11-19,Customer_Support,Claude-3-Sonnet,1.09,136464,681.2,0.314,0.949,1.61,489.1,0.322
2025-10-15,Engineering,Claude-3-Sonnet,1.16,144778,646.2,0.327,0.938,14.77,764.8,0.361
2025-04-09,Data_Science,Llama-3-70B,0.25,250117,311.3,0.241,0.887,15.31,881.6,0.23
2025-08-13,Customer_Support,GPT-3.5-Turbo,0.51,254033,344.2,0.308,0.927,1.73,411.3,0.333
2025-06-04,Customer_Support,GPT-3.5-Turbo,0.61,306798,415.7,0.272,0.913,2.04,466.2,0.252
2025-05-14,Data_Science,Llama-3-70B,0.24,238105,275.9,0.248,0.892,16.23,853.6,0.254
2025-09-17,Marketing,GPT-4,2.5,83334,1206.1,0.265,0.974,3.51,743.2,0.328
2025-07-02,Sales,GPT-3.5-Turbo,0.28,137892,424,0.266,0.92,2.24,699.5,0.271
2025-06-04,Data_Science,GPT-4,9.17,305674,1329.8,0.272,0.974,14.87,865.6,0.271
2025-08-06,Data_Science,GPT-4,8.79,292874,1055.4,0.316,0.966,14.1,803.2,0.299
2025-10-29,Customer_Support,Claude-3-Sonnet,1.02,127116,592.2,0.301,0.946,1.51,440.2,0.304
2025-06-11,Finance,GPT-4,3.21,107035,1150.4,0.288,0.968,5.49,1068.9,0.268
2025-11-26,Engineering,Claude-3-Sonnet,1.48,184707,627.8,0.381,0.942,19.06,742.4,0.373
2025-11-26,Marketing,Claude-3-Sonnet,1.05,131047,689.8,0.358,0.946,4.23,766.9,0.398
2025-01-08,Product,GPT-3.5-Turbo,0.2,100979,409.1,0.124,0.927,10.54,941.4,0.155
2025-05-28,Finance,Claude-3-Opus,1.3,51845,1193.5,0.292,0.964,4.49,1113.1,0.268
2025-01-08,Sales,GPT-3.5-Turbo,0.29,146495,393.2,0.162,0.914,1.96,674.3,0.15
2025-08-20,Sales,GPT-3.5-Turbo,0.22,111043,459.8,0.339,0.927,1.59,692.8,0.324
2025-12-03,Marketing,Claude-3-Sonnet,0.99,124135,512.8,0.429,0.933,3.73,665.5,0.408
2025-06-04,Finance,Claude-3-Opus,1.26,50529,1260.3,0.248,0.961,4.96,1115.8,0.253
2025-06-04,Data_Science,Claude-3-Opus,5.48,219189,985.4,0.304,0.958,14.87,865.6,0.271
2025-05-21,Product,Claude-3-Opus,3.38,135031,1253.8,0.228,0.961,10.09,911.4,0.248
2025-07-30,Engineering,Llama-3-70B,0.07,72364,280.1,0.26,0.885,17.6,776,0.272
2025-04-02,Engineering,Llama-3-70B,0.3,296430,342,0.178,0.892,54.1,800,0.203
2025-08-27,Engineering,Llama-3-70B,0.08,78621,274.5,0.285,0.892,15.7,802,0.301
2025-01-01,Marketing,GPT-4,2.46,81955,1109.7,0.167,0.971,3.42,684.1,0.146
2025-06-25,Product,GPT-3.5-Turbo,0.21,103315,458.1,0.297,0.921,12.42,867.6,0.305
2025-10-22,Sales,Claude-3-Sonnet,0.47,59008,602.3,0.302,0.949,1.39,719.3,0.32
2025-09-24,Customer_Support,GPT-3.5-Turbo,0.52,260726,419.9,0.338,0.922,1.58,479.8,0.342
2025-01-08,Legal,GPT-4,2.47,82235,1143.8,0.172,0.974,3.71,1080.7,0.159
2025-07-16,Product,GPT-3.5-Turbo,0.18,91171,391,0.266,0.925,10.11,919.9,0.294
2025-01-22,Engineering,Claude-3-Sonnet,1.39,173673,525.4,0.195,0.945,18.53,793.2,0.175
2025-07-09,Marketing,GPT-3.5-Turbo,0.19,95014,347.8,0.272,0.913,4.13,700,0.258
2025-07-30,Marketing,GPT-3.5-Turbo,0.17,84485,420.4,0.317,0.915,3.81,686.4,0.286
2025-08-06,Data_Science,Claude-3-Opus,5.11,204480,1038.3,0.25,0.959,14.1,803.2,0.299
2025-08-06,Data_Science,Llama-3-70B,0.2,204084,316,0.33,0.895,14.1,803.2,0.299
2025-04-02,Marketing,GPT-4,3.08,102670,1116.7,0.241,0.973,4.29,656.5,0.218
2025-10-22,Marketing,GPT-4,2.27,75593,1252.6,0.421,0.97,3.27,738,0.395
2025-01-01,Engineering,Claude-3-Opus,5.9,236143,1128.5,0.136,0.964,15.81,800.1,0.146
2025-10-15,Finance,Gemini-Pro,0.56,28094,875.6,0.288,0.943,4.12,998.9,0.351
2025-05-28,Engineering,Claude-3-Opus,7.71,308545,1037.1,0.24,0.956,19.87,770.5,0.255
2025-07-16,Engineering,GPT-4,7.06,235212,1126.2,0.236,0.978,12.76,785.2,0.269
2025-02-12,Engineering,Claude-3-Sonnet,1.26,157401,620.8,0.155,0.937,17.09,865.5,0.175
2025-01-15,Marketing,GPT-3.5-Turbo,0.18,87541,355.8,0.134,0.917,3.4,702.9,0.15
2025-10-29,Engineering,Llama-3-70B,0.08,84509,336.7,0.299,0.89,17.41,799.7,0.38
2025-04-23,Engineering,Llama-3-70B,0.09,90155,261.3,0.197,0.895,21.21,802.8,0.219
2025-12-24,Marketing,Claude-3-Sonnet,1.11,138978,567.5,0.354,0.942,4.23,735.5,0.384
2025-08-27,Marketing,GPT-4,2.76,92145,1297.9,0.335,0.979,3.83,758.3,0.34
2025-11-19,Sales,Gemini-Pro,1.02,50806,1091.1,0.428,0.945,1.85,673.4,0.408
2025-05-28,Marketing,GPT-3.5-Turbo,0.17,85916,370.7,0.266,0.923,3.28,760.8,0.257
2025-12-03,Finance,Gemini-Pro,0.81,40704,928.8,0.365,0.949,5.22,1006.7,0.372
2025-10-08,Engineering,GPT-4,19.37,645623,1268.4,0.398,0.977,33.73,771.8,0.379
2025-12-03,Finance,Claude-3-Opus,1.53,61249,965.4,0.357,0.96,5.22,1006.7,0.372
2025-05-28,Customer_Support,GPT-3.5-Turbo,0.86,430626,346.9,0.292,0.913,2.72,429.1,0.278
2025-10-22,Customer_Support,GPT-3.5-Turbo,0.58,287968,451.4,0.31,0.916,1.97,455.2,0.332
2025-12-03,Marketing,GPT-3.5-Turbo,0.19,96496,419.6,0.395,0.928,3.73,665.5,0.408
2025-01-01,Customer_Support,GPT-3.5-Turbo,0.79,394558,424.2,0.176,0.923,2.38,427.8,0.141
2025-10-08,Data_Science,Claude-3-Opus,4.29,171643,1195.7,0.351,0.969,10.79,868.7,0.31
2025-07-16,Data_Science,Llama-3-70B,0.23,232092,274.6,0.285,0.895,12.86,769.1,0.286
2025-04-09,Marketing,GPT-4,3.86,128701,1376.7,0.22,0.964,5.32,786.7,0.205
2025-06-18,Legal,Claude-3-Opus,1.9,76050,1067.4,0.311,0.962,5.43,1145.2,0.289
2025-09-10,Engineering,Claude-3-Opus,4.02,160758,1258.6,0.28,0.965,11,816.3,0.306
2025-04-09,Engineering,Claude-3-Opus,6.66,266289,1244.7,0.19,0.955,18.55,833.5,0.217
2025-01-22,Product,Claude-3-Opus,5.01,200422,1023.8,0.196,0.954,14.15,898.5,0.155
2025-10-08,Data_Science,GPT-4,6.34,211180,1112.4,0.289,0.968,10.79,868.7,0.31
2025-01-08,Finance,Claude-3-Opus,1.18,47377,1228.5,0.172,0.968,4.27,1058.7,0.159
2025-10-15,Finance,GPT-4,2.34,77984,1164.7,0.349,0.975,4.12,998.9,0.351
2025-04-16,Data_Science,GPT-4,11.06,368539,1255.7,0.186,0.978,18.73,874.3,0.218
2025-02-05,Engineering,GPT-4,9.4,313430,1368.2,0.162,0.967,17.66,850.9,0.171
2025-04-16,Finance,Gemini-Pro,0.73,36524,936,0.232,0.947,5.4,1077.6,0.211
2025-10-22,Finance,Claude-3-Opus,1.15,45902,1128.6,0.334,0.961,3.75,1038.3,0.351
2025-10-29,Marketing,GPT-3.5-Turbo,0.14,69024,372,0.308,0.929,3.01,766.5,0.341
2025-02-05,Product,Claude-3-Opus,4.23,169218,1193.5,0.164,0.962,13.28,924.1,0.184
2025-09-24,Sales,GPT-3.5-Turbo,0.21,106425,350.6,0.363,0.915,1.61,712.1,0.357
2025-11-12,Sales,GPT-3.5-Turbo,0.21,105539,450.4,0.302,0.927,1.66,692.2,0.32
2025-01-15,Legal,GPT-4,2.94,98074,1292.5,0.181,0.974,4.44,1209.5,0.186
2025-02-05,Marketing,GPT-4,2.92,97289,1270,0.195,0.961,4.18,730.7,0.168
2025-05-28,Engineering,Claude-3-Sonnet,1.61,201658,547.9,0.294,0.947,19.87,770.5,0.255
2025-01-15,Engineering,Llama-3-70B,0.08,79877,304.1,0.176,0.884,16.44,848,0.164
2025-02-12,Sales,GPT-3.5-Turbo,0.3,151202,382.9,0.165,0.919,2.16,666.5,0.169
2025-01-15,Sales,Claude-3-Sonnet,0.63,78403,599,0.137,0.934,1.9,621.8,0.147
2025-02-19,Sales,GPT-3.5-Turbo,0.25,122633,406.1,0.212,0.912,1.89,653.6,0.191
2025-04-09,Product,Claude-3-Opus,5.02,200742,1110.9,0.208,0.951,14.71,854.5,0.197
2025-07-30,Finance,GPT-4,2.65,88201,1155.8,0.242,0.977,4.66,1041.2,0.271
2025-11-12,Finance,GPT-4,2.65,88299,1164,0.396,0.961,4.8,1119.3,0.378
2025-09-17,Sales,Claude-3-Sonnet,0.5,62282,644.5,0.326,0.94,1.53,641.9,0.326
2025-11-19,Finance,GPT-4,3.03,101083,1029.1,0.322,0.975,5.42,1091.8,0.344
2025-01-15,Legal,Claude-3-Opus,1.5,59981,1126.5,0.191,0.964,4.44,1209.5,0.186
2025-07-09,Product,GPT-3.5-Turbo,0.17,82809,404.8,0.246,0.929,10.08,832.1,0.257
2025-06-04,Customer_Support,Claude-3-Sonnet,1.37,171296,662.3,0.221,0.944,2.04,466.2,0.252
2025-12-17,Data_Science,Llama-3-70B,0.17,167622,284.7,0.346,0.893,11.79,876.2,0.39
2025-03-26,Engineering,Claude-3-Sonnet,3.32,414481,577.5,0.195,0.933,44.2,729.5,0.215
2025-08-27,Finance,Claude-3-Opus,1.08,43386,963.5,0.34,0.951,3.88,1080.6,0.295
2025-01-01,Marketing,GPT-3.5-Turbo,0.16,79525,431.2,0.138,0.929,3.42,684.1,0.146
2025-03-05,Data_Science,Llama-3-70B,0.26,259410,275.6,0.185,0.9,17.57,852.6,0.208
2025-09-03,Sales,Gemini-Pro,0.82,41190,851.4,0.342,0.955,1.57,617.1,0.295
2025-09-17,Legal,GPT-4,1.92,63856,1046.1,0.345,0.973,3,1032.2,0.359
2025-09-03,Engineering,GPT-4,8.94,297963,1375.2,0.375,0.976,16.44,845.4,0.329
2025-01-15,Marketing,GPT-4,2.35,78400,1170.1,0.147,0.972,3.4,702.9,0.15
2025-02-12,Finance,Gemini-Pro,0.97,48400,1116.7,0.191,0.955,6.93,1083.1,0.187
2025-06-18,Engineering,Claude-3-Opus,6.03,241045,1100.8,0.245,0.965,17.49,821.7,0.264
2025-11-05,Sales,Gemini-Pro,0.78,38920,1049.6,0.302,0.959,1.44,689.1,0.329
2025-11-05,Sales,GPT-3.5-Turbo,0.19,95154,389.6,0.368,0.923,1.44,689.1,0.329
2025-10-01,Customer_Support,Llama-3-70B,0.05,47496,281,0.345,0.891,1.79,455.1,0.361
2025-04-02,Engineering,GPT-4,29.47,982331,1223.8,0.251,0.962,54.1,800,0.203
2025-03-19,Engineering,Claude-3-Opus,6.99,279406,957.8,0.207,0.969,19.47,787.6,0.212
2025-04-02,Data_Science,Llama-3-70B,0.28,275153,293.1,0.235,0.892,17.23,935.3,0.215
2025-08-13,Finance,Gemini-Pro,0.65,32362,955.9,0.294,0.946,4.43,1166.9,0.295
2025-04-16,Finance,Claude-3-Opus,1.52,60872,1235.3,0.2,0.969,5.4,1077.6,0.211
2025-07-23,Data_Science,GPT-4,7.86,261920,1065.3,0.273,0.962,12.88,813.4,0.282
2025-11-05,Legal,Claude-3-Opus,1.05,41954,1004.8,0.313,0.97,2.86,1163.6,0.364
2025-06-18,Marketing,GPT-3.5-Turbo,0.17,87372,427.3,0.28,0.919,3.66,675,0.292
2025-01-15,Customer_Support,GPT-3.5-Turbo,0.78,389576,372.4,0.129,0.927,2.49,422.6,0.146
2025-05-21,Product,GPT-4,6.54,217923,1081,0.239,0.965,10.09,911.4,0.248
2025-02-05,Data_Science,Claude-3-Opus,6.66,266538,1146.8,0.15,0.956,16.67,897.3,0.177
2025-10-01,Sales,Claude-3-Sonnet,0.52,65145,668,0.28,0.932,1.58,699.5,0.342
2025-03-26,Product,GPT-4,18.14,604733,1152.4,0.187,0.979,28.5,901.4,0.196
2025-03-12,Engineering,Llama-3-70B,0.09,93265,306.6,0.173,0.897,21.87,768.7,0.18
2025-08-06,Customer_Support,Claude-3-Sonnet,1.2,150402,598.9,0.285,0.938,1.83,454.7,0.275
2025-05-07,Customer_Support,Llama-3-70B,0.07,69924,288,0.194,0.898,3.03,444.8,0.218
2025-03-19,Marketing,GPT-3.5-Turbo,0.23,115400,348,0.19,0.928,4.97,774.9,0.198
2025-10-29,Engineering,GPT-4,10.25,341540,1280.7,0.397,0.963,17.41,799.7,0.38
2025-09-10,Engineering,GPT-4,6.11,203531,1100.1,0.314,0.976,11,816.3,0.306
2025-11-19,Product,GPT-4,7.1,236722,1064.8,0.401,0.977,10.52,831.6,0.368
2025-05-07,Engineering,Llama-3-70B,0.11,108402,328.7,0.208,0.887,24.05,799,0.229
2025-11-19,Sales,GPT-3.5-Turbo,0.24,119842,344,0.368,0.929,1.85,673.4,0.408
2025-04-16,Customer_Support,GPT-3.5-Turbo,0.97,487316,453.4,0.193,0.915,3.19,424.9,0.22
2025-08-13,Legal,GPT-4,2.6,86740,1137.4,0.253,0.974,4.22,1040,0.302
2025-08-27,Sales,Gemini-Pro,0.92,46035,1146.1,0.376,0.948,1.78,738.4,0.327
2025-08-27,Engineering,Claude-3-Sonnet,1.19,149350,666,0.259,0.936,15.7,802,0.301
2025-04-09,Customer_Support,GPT-3.5-Turbo,0.8,401905,440.6,0.176,0.914,2.62,420,0.198
2025-07-02,Sales,Gemini-Pro,1.27,63418,1098.9,0.263,0.957,2.24,699.5,0.271
2025-05-28,Finance,Gemini-Pro,0.76,38087,929.5,0.299,0.956,4.49,1113.1,0.268
2025-02-12,Data_Science,Claude-3-Opus,4.96,198533,1098.5,0.203,0.959,13.72,926.2,0.198
2025-02-05,Customer_Support,Llama-3-70B,0.08,80054,307,0.176,0.897,3.02,451.7,0.17
2025-01-15,Product,Claude-3-Opus,3.3,131987,1097,0.152,0.955,10.87,901,0.165
2025-10-29,Legal,GPT-4,2.22,74048,1343.9,0.358,0.976,3.37,1189.3,0.346
2025-04-02,Finance,Claude-3-Opus,2.09,83736,1024.6,0.227,0.961,7.32,1060.9,0.211
2025-02-26,Data_Science,Llama-3-70B,0.24,237674,340.9,0.222,0.882,16.59,883.4,0.22
2025-10-29,Customer_Support,Llama-3-70B,0.04,39847,279.9,0.3,0.892,1.51,440.2,0.304
2025-07-23,Customer_Support,Claude-3-Sonnet,1.35,168359,532.2,0.27,0.94,2.12,400.8,0.268
2025-11-05,Finance,Claude-3-Opus,0.93,37374,1177.9,0.32,0.958,3.67,1188.6,0.358
2025-04-16,Customer_Support,Llama-3-70B,0.08,82996,283.2,0.235,0.89,3.19,424.9,0.22
2025-01-29,Sales,Claude-3-Sonnet,0.66,82872,661.7,0.174,0.946,1.93,702.3,0.167
2025-05-07,Marketing,GPT-4,2.6,86818,1290.9,0.26,0.971,3.9,795.9,0.236
2025-11-26,Product,GPT-3.5-Turbo,0.18,88077,341.3,0.33,0.927,10.08,880.7,0.376
2025-03-26,Sales,Claude-3-Sonnet,0.81,101645,601.4,0.227,0.937,2.71,696.4,0.211
2025-06-25,Engineering,GPT-4,9.48,315975,1021.7,0.225,0.97,16.65,753.9,0.274
2025-07-30,Customer_Support,Claude-3-Sonnet,1.18,147358,625.2,0.328,0.934,1.88,453.7,0.318
2025-11-12,Legal,GPT-4,2.44,81356,1159.7,0.434,0.969,3.84,1079.6,0.398
2025-07-09,Sales,Gemini-Pro,0.89,44493,858,0.261,0.947,1.67,611.4,0.283
2025-09-10,Engineering,Llama-3-70B,0.05,49509,291.6,0.277,0.893,11,816.3,0.306
2025-11-05,Marketing,Claude-3-Sonnet,0.88,110003,686.3,0.313,0.934,3.24,711.2,0.31
2025-07-02,Marketing,GPT-3.5-Turbo,0.21,105819,347.6,0.295,0.917,4.34,719.3,0.251
2025-03-19,Sales,Claude-3-Sonnet,0.69,86498,637,0.17,0.947,2.32,738.4,0.18
2025-04-02,Customer_Support,GPT-3.5-Turbo,0.83,415359,455.5,0.247,0.929,2.79,445.8,0.223
2025-06-11,Engineering,Claude-3-Opus,6.87,274666,1013.9,0.259,0.962,19.65,779.5,0.253
2025-05-21,Sales,Gemini-Pro,0.89,44644,962.1,0.25,0.955,1.65,634.5,0.224
2025-03-26,Legal,Claude-3-Opus,1.36,54579,1224.6,0.219,0.968,3.92,1174.5,0.225
2025-03-19,Customer_Support,Claude-3-Sonnet,1.45,181251,548.7,0.24,0.948,2.23,436.9,0.212
2025-09-24,Data_Science,Llama-3-70B,0.17,170672,312.9,0.33,0.894,10.86,868.7,0.325
2025-08-06,Customer_Support,Llama-3-70B,0.05,48261,323.2,0.258,0.882,1.83,454.7,0.275
2025-11-12,Product,Claude-3-Opus,3.03,121100,984.4,0.304,0.955,9.59,856.2,0.361
2025-03-12,Engineering,Claude-3-Sonnet,1.67,208706,541.8,0.181,0.931,21.87,768.7,0.18
2025-08-20,Customer_Support,Claude-3-Sonnet,1.26,156939,517.4,0.327,0.943,2.02,408,0.299
2025-03-19,Customer_Support,GPT-3.5-Turbo,0.72,358044,429.2,0.167,0.918,2.23,436.9,0.212
2025-02-05,Engineering,Claude-3-Opus,6.9,275944,1062.4,0.187,0.961,17.66,850.9,0.171
2025-08-13,Customer_Support,Claude-3-Sonnet,1.17,146364,560.6,0.351,0.949,1.73,411.3,0.333
2025-04-23,Data_Science,GPT-4,8.2,273349,1263.9,0.245,0.96,13.8,864.6,0.23
2025-02-26,Engineering,Claude-3-Sonnet,1.64,204780,516.4,0.156,0.933,21.37,746.6,0.167
2025-10-08,Sales,GPT-3.5-Turbo,0.18,90103,357.4,0.363,0.913,1.34,680.5,0.313
2025-08-13,Finance,GPT-4,2.53,84492,1362.4,0.246,0.97,4.43,1166.9,0.295
2025-09-17,Product,GPT-4,6.91,230379,1181.4,0.308,0.974,10.11,842.9,0.335
2025-01-01,Finance,Claude-3-Opus,1.53,61099,1203.7,0.122,0.962,5.39,1216.5,0.13
2025-09-24,Customer_Support,Llama-3-70B,0.04,37497,344.1,0.326,0.899,1.58,479.8,0.342
2025-01-22,Customer_Support,GPT-3.5-Turbo,0.86,431030,445.4,0.181,0.92,2.51,418.2,0.163
2025-01-01,Product,GPT-4,8.22,273986,1353.7,0.175,0.978,11.95,913.3,0.155
2025-08-27,Product,GPT-3.5-Turbo,0.17,87230,421.4,0.314,0.919,9.56,826.4,0.316
2025-06-25,Marketing,Claude-3-Sonnet,1.13,141015,630.9,0.281,0.935,4.17,811.3,0.263
2025-09-17,Finance,GPT-4,2.22,74061,1036.6,0.321,0.97,4.21,1078.7,0.335
2025-01-08,Marketing,GPT-4,3.13,104301,1086.6,0.172,0.962,4.45,670.7,0.145
2025-09-24,Finance,Gemini-Pro,1.44,71792,1035.4,0.378,0.959,10.24,1093.8,0.33
2025-03-19,Product,GPT-4,7.87,262471,1326.7,0.24,0.965,12.57,965.2,0.228
2025-10-08,Product,GPT-4,14.3,476536,1131.5,0.312,0.976,21.33,845.8,0.325
2025-07-16,Customer_Support,Claude-3-Sonnet,1.26,157023,665.6,0.327,0.95,1.9,461.3,0.316
2025-09-24,Product,GPT-4,11.2,373331,1060.4,0.328,0.963,16.35,894.2,0.353
2025-07-09,Engineering,Llama-3-70B,0.08,84213,312,0.282,0.888,19.79,706.5,0.263
2025-05-14,Data_Science,GPT-4,9.62,320532,1056.6,0.264,0.976,16.23,853.6,0.254
2025-07-23,Marketing,GPT-4,2.07,69030,1367.1,0.257,0.962,2.93,830.1,0.287
2025-10-15,Legal,Claude-3-Opus,1.23,49019,1048.7,0.388,0.954,3.61,1079.5,0.381
2025-04-16,Engineering,Llama-3-70B,0.1,102721,328.5,0.21,0.883,20.06,821.3,0.201
2025-05-21,Customer_Support,GPT-3.5-Turbo,1.01,504792,452.8,0.197,0.928,3.07,475.7,0.248
